1;Year;Nacional;Extranjero;Total
2;2004;98624;10678;109302
3;2005;107045;12297;119342
4;2006;76471;72889;149360
5;2007;111200;33782;144982
6;2008;84932;23998;108930
7;2009;66278;31071;97349
8;2010;79852;32067;111919
9;2011;93635;33185;126820
10;2012;112818;35758;148576
11;2013;112818;35758;148576
12;2014;139063;38799;177862
13;2015;200189;48971;249160
14;2016;194887;66264;261151
15;2017;197596;85773;283369
16;2018;282111;97329;378440
17;2019;322287;83301;405588
18;2020;86811;12152;98963
19;2021;211073;11034;222107
20;2022;194816;50255;245071
21;2023;166471;31115;197586
